Top 1000 Wordle openers (score = information gain, higher = better)
============================================================
145. RONTE | score: 28.5237 | visits: 28
146. SEARE | score: 28.5235 | visits: 28
147. SMORE | score: 28.5235 | visits: 28
148. STYRE | score: 28.5234 | visits: 28
149. URSAE | score: 28.5234 | visits: 28
150. ONSET | score: 28.5233 | visits: 28
151. CASTE | score: 28.5232 | visits: 28
152. SCORN | score: 28.5230 | visits: 28
153. ROUEN | score: 28.5230 | visits: 28
154. RAYNE | score: 28.5229 | visits: 28
155. WARES | score: 28.5229 | visits: 28
156. SONDE | score: 28.5228 | visits: 28
157. TARNS | score: 28.5228 | visits: 28
158. SWART | score: 28.5227 | visits: 28
159. ASTER | score: 28.5227 | visits: 28
160. SCRAN | score: 28.5226 | visits: 28
161. URASE | score: 28.5225 | visits: 28
162. EARNS | score: 28.5225 | visits: 28
163. PRATE | score: 28.5219 | visits: 28
164. DEARN | score: 28.5219 | visits: 28
165. RESOD | score: 28.5219 | visits: 28
166. SLANT | score: 28.5217 | visits: 28
167. SCART | score: 28.5217 | visits: 28
168. SHARN | score: 28.5216 | visits: 28
169. REINS | score: 28.5213 | visits: 28
170. WASTE | score: 28.5212 | visits: 28
171. STORY | score: 28.5212 | visits: 28
172. SOREL | score: 28.5211 | visits: 28
173. TRIES | score: 28.5211 | visits: 28
174. SPEAR | score: 28.5210 | visits: 28
175. SAPOR | score: 28.5209 | visits: 28
176. RACES | score: 28.5207 | visits: 28
177. SAUTE | score: 28.5205 | visits: 28
178. GRATE | score: 28.5205 | visits: 28
179. AEROS | score: 28.5204 | visits: 28
180. SEWIN | score: 28.5204 | visits: 28
181. SOGER | score: 28.5203 | visits: 28
182. LEANT | score: 28.5201 | visits: 28
183. READS | score: 28.5200 | visits: 28
184. LASER | score: 28.5200 | visits: 28
185. SHORE | score: 28.5200 | visits: 28
186. REGOS | score: 28.5199 | visits: 28
187. WEARY | score: 28.5198 | visits: 28
188. CARTE | score: 28.5195 | visits: 28
189. ROINS | score: 28.5193 | visits: 28
190. PARES | score: 28.5192 | visits: 28
191. TRAPE | score: 28.5191 | visits: 28
192. SALET | score: 28.5191 | visits: 28
193. SCARY | score: 28.5187 | visits: 28
194. SOWAR | score: 28.5186 | visits: 28
195. SETON | score: 28.5186 | visits: 28
196. TAWSE | score: 28.5185 | visits: 28
197. SAURY | score: 28.5185 | visits: 28
198. PROSE | score: 28.5185 | visits: 28
199. TYRES | score: 28.5185 | visits: 28
200. WEARS | score: 28.5184 | visits: 28
201. SOWER | score: 28.5183 | visits: 28
202. REAMS | score: 28.5180 | visits: 28
203. SPART | score: 28.5178 | visits: 28
204. SORED | score: 28.5177 | visits: 28
205. STROY | score: 28.5177 | visits: 28
206. SERAI | score: 28.5170 | visits: 28
207. STURE | score: 28.5169 | visits: 28
208. MASER | score: 28.5169 | visits: 28
209. SABER | score: 28.5168 | visits: 28
210. ROTAN | score: 28.5168 | visits: 28
211. STRAY | score: 28.5168 | visits: 28
212. REAMY | score: 28.5167 | visits: 28
213. STAGE | score: 28.5167 | visits: 28
214. SANED | score: 28.5164 | visits: 28
215. ACORN | score: 28.5163 | visits: 28
216. SHEAR | score: 28.5161 | visits: 28
217. EARNT | score: 28.5160 | visits: 28
218. ROWEN | score: 28.5160 | visits: 28
219. SLART | score: 28.5159 | visits: 28
220. TONES | score: 28.5158 | visits: 28
221. COSET | score: 28.5157 | visits: 28
222. SWINE | score: 28.5155 | visits: 28
223. TORAN | score: 28.5155 | visits: 28
224. STILE | score: 28.5154 | visits: 28
225. SLADE | score: 28.5152 | visits: 28
226. NOSEY | score: 28.5148 | visits: 28
227. TONER | score: 28.5146 | visits: 28
228. NOISE | score: 28.5145 | visits: 28
229. REOIL | score: 28.5142 | visits: 28
230. TRONS | score: 28.5141 | visits: 28
231. RYOTS | score: 28.5140 | visits: 28
232. YARNS | score: 28.5140 | visits: 28
233. ROWIE | score: 28.5138 | visits: 28
234. REAKS | score: 28.5136 | visits: 28
235. PEARS | score: 28.5136 | visits: 28
